from,to,gasPrice,gasUsed,value,timeStamp,label
0x03b70dc31abf9cf6c1cf80bfeeb322e8d3dbb4ca,0xee18e156a020f2b2b2dcdec3a9476e61fbde1e48,8000000000,21000,236406619385342790,1540731775,0
0x106253944dfb8ca434edae29f4d62070db0b7f6f,0x03b70dc31abf9cf6c1cf80bfeeb322e8d3dbb4ca,3000000000,21000,298000000000000000,1540731434,1
0x03b70dc31abf9cf6c1cf80bfeeb322e8d3dbb4ca,0x52da7f517026d90cdf065d83ee337de4f65786ca,10000000000,21000,713295026748563503,1540463360,0
0x7ebfe7bf6443f2102102bdbd5ab3d9bba7b7c6ee,0x03b70dc31abf9cf6c1cf80bfeeb322e8d3dbb4ca,10000000000,21000,894401340000000000,1540463062,1
0x03b70dc31abf9cf6c1cf80bfeeb322e8d3dbb4ca,0xee18e156a020f2b2b2dcdec3a9476e61fbde1e48,10000000000,21000,270000000000000000,1540308180,0
0xf076c2a8c4f56ae0b554f10e87269262b948074a,0x03b70dc31abf9cf6c1cf80bfeeb322e8d3dbb4ca,41000000000,21000,271564000000000000,1540298947,1
0x03b70dc31abf9cf6c1cf80bfeeb322e8d3dbb4ca,0x42c48435c25a4f6cf106dd42092db1f7fe846bc2,3100000000,21000,179660839285643906,1539978807,0
0x03b70dc31abf9cf6c1cf80bfeeb322e8d3dbb4ca,0x52fa0d9f7c3cde3dbb2506927e79c75639e01adf,6000000000,21000,1142969750714356094,1539978163,0
0xd42581d4b0e6dfee1d4ab43e541e0dad0e470e81,0x03b70dc31abf9cf6c1cf80bfeeb322e8d3dbb4ca,41000000000,21000,1322821690000000000,1539977498,1
0x03b70dc31abf9cf6c1cf80bfeeb322e8d3dbb4ca,0x4540031a6e833c841c4ee0cc14358b7568de1182,3100000000,21000,856462150000000000,1539864550,0
0x274f3c32c90517975e29dfc209a23f315c1e5fc7,0x03b70dc31abf9cf6c1cf80bfeeb322e8d3dbb4ca,41000000000,21000,856527250000000000,1539864386,1
0x03b70dc31abf9cf6c1cf80bfeeb322e8d3dbb4ca,0x0a194e65ee8da9d8a31e07e781f08e9e375b8e17,3100000000,21000,21221430000000000,1539613096,0
0x70faa28a6b8d6829a4b1e649d26ec9a2a39ba413,0x03b70dc31abf9cf6c1cf80bfeeb322e8d3dbb4ca,50000000000,21000,21531430000000000,1539611642,1
0x03b70dc31abf9cf6c1cf80bfeeb322e8d3dbb4ca,0x7e21288380c5261d7b26c1c1dcaede7059ee8a18,23000000000,21000,16833840000000000,1539334039,0
0x03b70dc31abf9cf6c1cf80bfeeb322e8d3dbb4ca,0x1f7025750dcfa62ae9ffd5ea858e4a09bee8d0b5,23000000000,21000,15441630000000000,1539323024,0
0x03b70dc31abf9cf6c1cf80bfeeb322e8d3dbb4ca,0x1f7025750dcfa62ae9ffd5ea858e4a09bee8d0b5,23000000000,21000,20588840000000000,1539322763,0
