address,nodes,edges,n_edges_incoming,n_edges_outcoming,percentage_incoming,percentage_outcoming,total_weight_in,total_weight_out
0x385dc986ac6dfaefe851ac95d3650e0baafef3ac,4,4,3,1,75.0,25.0,215044194.72869995,134.402
0x67586e3526bbe9f3e19d76bb41f1de0a774b50b4,4,4,3,1,75.0,25.0,215108994.72059995,134.4425
0xc39cc669a548c661dfa6b5a1eeaa389d1ec53143,6,8,6,2,75.0,25.0,482558412.090769,268088005.5518134
0x918fa381cb534677bad24afb29cb3c2acaf16385,3,2,1,1,50.0,50.0,212701903.238035,0.268088
0xfdfeb7474b6b104f32599948bb7f8ed81b06def3,3,2,1,1,50.0,50.0,1327429429.889927,0.0
0xcfee6efec3471874022e205f4894733c42cbbf64,3,10,10,0,100.0,0.0,207518650.0,0
0xa463597d49f54fe6a811fb894cbd67c7f92852b0,50,63,63,0,100.0,0.0,1975795057.322275,0
0xfcd159d0fef5b1003e10d91a5b79d52bbb8cd05d,49,65,65,0,100.0,0.0,1678651242.06239,0
0x6e414cfad874d8ee716ea0299d40011207c907b8,58,72,72,0,100.0,0.0,959259474.8415669,0
0x19bf56fca395a600c20f732b05757f30ad24a719,55,67,67,0,100.0,0.0,1724078462.4204302,0
0x04b7f4195595d8132dd8249cc8dc7e79a6ae772b,50,62,62,0,100.0,0.0,4010315552.247761,0
0xff2ac8c5834a7585fcc97edb8ba2431c4beab487,47,59,59,0,100.0,0.0,5335191308.304354,0
0x4ed97d6470f5121a8e02498ea37a50987da0eec0,57,97,97,0,100.0,0.0,1035590711.5073669,0
0x2268f45acb887e0a4e9c8714798fa7892629e91f,8,7,7,0,100.0,0.0,202926495.32861286,0
0x8033539e873b3f0deaba706dd6d3480e0dd5cb30,4,11,1,10,9.090909090909092,90.9090909090909,637129825.8689749,2410695.0
0x36b6751586614d647d8a3f495e82bdcf250914c8,50,62,62,0,100.0,0.0,2790909706.838218,0
0x3f7e77b627676763997344a1ad71acb765fc8ac5,6,8,2,6,25.0,75.0,201849149.676737,1070711.611
0x013d81dcfa99546c14ab3976abbe494b3e07edd8,3,2,2,0,100.0,0.0,188276343.544,0
0x6fb8ebc19bc2a9fa4413ba6a0ca6fa99e974b461,45,56,56,0,100.0,0.0,5345181149.161604,0
0x807cc0e799dcc651d94595e1f7f6e7373ef8f96a,48,58,58,0,100.0,0.0,3871302045.9557056,0
0xf196c023de1f19d6529133759f449c4b01ce0f51,44,55,55,0,100.0,0.0,3911196301.744614,0
0xe9a5a2acfa9bee149ed28fcbf12b60ff2ad97efb,55,66,66,0,100.0,0.0,2478915650.590074,0
0x303c741bb15c9c4b1c72320f6df702b32da80519,60,71,71,0,100.0,0.0,1054934235.7034515,0
0xe93fc974908003faddf0bd972b05b6494368d3f5,49,60,60,0,100.0,0.0,1443008233.901936,0
0x1fe29b608c1cab7b7354fc96c7bbb2a68355ced6,6,6,3,3,50.0,50.0,267895357.8,80369733.4584774
